reg_date,local_name,fuel_name,car_type,car_num
2019-01-01,강남구,CNG,승용,52.0
2019-01-01,강남구,경유,승용,53229.0
2019-01-01,강남구,기타연료,승용,14.0
2019-01-01,강남구,수소,승용,18.0
2019-01-01,강남구,엘피지,승용,10641.0
2019-01-01,강남구,전기,승용,4258.0
2019-01-01,강남구,하이브리드,승용,9924.0
2019-01-01,강남구,휘발유,승용,133443.0
2019-01-01,강동구,CNG,승용,39.0
2019-01-01,강동구,경유,승용,31893.0
2019-01-01,강동구,기타연료,승용,5.0
2019-01-01,강동구,수소,승용,3.0
2019-01-01,강동구,엘피지,승용,12974.0
2019-01-01,강동구,전기,승용,171.0
2019-01-01,강동구,하이브리드,승용,2996.0
2019-01-01,강동구,휘발유,승용,66928.0
2019-01-01,강북구,CNG,승용,14.0
2019-01-01,강북구,경유,승용,18697.0
2019-01-01,강북구,기타연료,승용,1.0
2019-01-01,강북구,수소,승용,1.0
2019-01-01,강북구,엘피지,승용,7834.0
2019-01-01,강북구,전기,승용,86.0
2019-01-01,강북구,하이브리드,승용,1180.0
2019-01-01,강북구,휘발유,승용,36046.0
2019-01-01,강서구,CNG,승용,50.0
2019-01-01,강서구,경유,승용,48033.0
2019-01-01,강서구,기타연료,승용,4.0
2019-01-01,강서구,수소,승용,2.0
2019-01-01,강서구,엘피지,승용,19971.0
2019-01-01,강서구,전기,승용,273.0
2019-01-01,강서구,하이브리드,승용,6837.0
2019-01-01,강서구,휘발유,승용,99277.0
2019-01-01,관악구,CNG,승용,26.0
2019-01-01,관악구,경유,승용,29376.0
2019-01-01,관악구,기타연료,승용,0.0
2019-01-01,관악구,수소,승용,1.0
2019-01-01,관악구,엘피지,승용,10091.0
2019-01-01,관악구,전기,승용,147.0
2019-01-01,관악구,하이브리드,승용,2585.0
2019-01-01,관악구,휘발유,승용,61456.0
2019-01-01,광진구,CNG,승용,16.0
2019-01-01,광진구,경유,승용,24439.0
2019-01-01,광진구,기타연료,승용,0.0
2019-01-01,광진구,엘피지,승용,7302.0
2019-01-01,광진구,전기,승용,123.0
2019-01-01,광진구,하이브리드,승용,2103.0
2019-01-01,광진구,휘발유,승용,49901.0
2019-01-01,구로구,CNG,승용,28.0
2019-01-01,구로구,경유,승용,35805.0
2019-01-01,구로구,기타연료,승용,0.0
2019-01-01,구로구,수소,승용,2.0
2019-01-01,구로구,엘피지,승용,13437.0
2019-01-01,구로구,전기,승용,171.0
2019-01-01,구로구,하이브리드,승용,2754.0
2019-01-01,구로구,휘발유,승용,67838.0
2019-01-01,금천구,CNG,승용,19.0
2019-01-01,금천구,경유,승용,21713.0
2019-01-01,금천구,기타연료,승용,1.0
2019-01-01,금천구,수소,승용,1.0
2019-01-01,금천구,엘피지,승용,6870.0
2019-01-01,금천구,전기,승용,131.0
2019-01-01,금천구,하이브리드,승용,1474.0
2019-01-01,금천구,휘발유,승용,38986.0
2019-01-01,노원구,CNG,승용,35.0
2019-01-01,노원구,경유,승용,37135.0
2019-01-01,노원구,기타연료,승용,2.0
2019-01-01,노원구,수소,승용,1.0
2019-01-01,노원구,엘피지,승용,16264.0
2019-01-01,노원구,전기,승용,165.0
2019-01-01,노원구,하이브리드,승용,2978.0
2019-01-01,노원구,휘발유,승용,77502.0
2019-01-01,도봉구,CNG,승용,22.0
2019-01-01,도봉구,경유,승용,22891.0
2019-01-01,도봉구,기타연료,승용,1.0
2019-01-01,도봉구,엘피지,승용,11145.0
2019-01-01,도봉구,전기,승용,123.0
2019-01-01,도봉구,하이브리드,승용,1635.0
2019-01-01,도봉구,휘발유,승용,46355.0
